"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","TRY","Turkish Lira","0","Units",,,0.918607,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","TRY","Turkish Lira","0","Units",,,0.966176,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","TRY","Turkish Lira","0","Units",,,1.019856,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","TRY","Turkish Lira","0","Units",,,1.070294,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","TRY","Turkish Lira","0","Units",,,1.14839,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","TRY","Turkish Lira","0","Units",,,1.241547,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","TRY","Turkish Lira","0","Units",,,1.343843,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","ILS","New Israeli Sheqel","0","Units",,,3.504641,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","ILS","New Israeli Sheqel","0","Units",,,3.441425,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","ILS","New Israeli Sheqel","0","Units",,,3.423106,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","ILS","New Israeli Sheqel","0","Units",,,3.462676,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","ILS","New Israeli Sheqel","0","Units",,,3.627312,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","ILS","New Israeli Sheqel","0","Units",,,3.534044,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","ILS","New Israeli Sheqel","0","Units",,,3.716937,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","ILS","New Israeli Sheqel","0","Units",,,3.786768,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","ILS","New Israeli Sheqel","0","Units",,,3.719166,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","ILS","New Israeli Sheqel","0","Units",,,3.867205,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","ILS","New Israeli Sheqel","0","Units",,,3.963305,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","ILS","New Israeli Sheqel","0","Units",,,3.972996,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","ILS","New Israeli Sheqel","0","Units",,,3.944763,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","ILS","New Israeli Sheqel","0","Units",,,3.955358,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","ILS","New Israeli Sheqel","0","Units",,,3.839566,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","ILS","New Israeli Sheqel","0","Units",,,3.849708,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","ILS","New Israeli Sheqel","0","Units",,,3.79998,,
"ISR","Israel","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","ILS","New Israeli Sheqel","0","Units",,,3.778916,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","CLP","Chilean Peso","0","Units",,,280.240551,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","CLP","Chilean Peso","0","Units",,,286.436984,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","CLP","Chilean Peso","0","Units",,,291.762867,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","CLP","Chilean Peso","0","Units",,,298.613501,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","CLP","Chilean Peso","0","Units",,,307.319599,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","CLP","Chilean Peso","0","Units",,,321.443782,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","CLP","Chilean Peso","0","Units",,,333.69,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","CLP","Chilean Peso","0","Units",,,322.173754,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","CLP","Chilean Peso","0","Units",,,326.154384,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","CLP","Chilean Peso","0","Units",,,342.987831,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","CLP","Chilean Peso","0","Units",,,353.163393,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","CLP","Chilean Peso","0","Units",,,357.464474,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","CLP","Chilean Peso","0","Units",,,348.016847,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","CLP","Chilean Peso","0","Units",,,347.228507,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","CLP","Chilean Peso","0","Units",,,349.680536,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","CLP","Chilean Peso","0","Units",,,366.12695,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","CLP","Chilean Peso","0","Units",,,378.757765,,
"CHL","Chile","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","CLP","Chilean Peso","0","Units",,,389.696253,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","CZK","Czech Koruna","0","Units",,,14.22935,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","CZK","Czech Koruna","0","Units",,,14.341465,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","CZK","Czech Koruna","0","Units",,,14.287515,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","CZK","Czech Koruna","0","Units",,,14.458321,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","CZK","Czech Koruna","0","Units",,,14.192577,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","CZK","Czech Koruna","0","Units",,,14.429087,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","CZK","Czech Koruna","0","Units",,,14.562493,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","CZK","Czech Koruna","0","Units",,,14.421223,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","CZK","Czech Koruna","0","Units",,,14.278177,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","CZK","Czech Koruna","0","Units",,,13.916713,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","CZK","Czech Koruna","0","Units",,,13.621707,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","CZK","Czech Koruna","0","Units",,,13.646715,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","CZK","Czech Koruna","0","Units",,,13.345305,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","CZK","Czech Koruna","0","Units",,,13.297699,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","CZK","Czech Koruna","0","Units",,,12.785271,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","CZK","Czech Koruna","0","Units",,,12.666181,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","CZK","Czech Koruna","0","Units",,,12.798979,,
"CZE","Czech Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","CZK","Czech Koruna","0","Units",,,12.861321,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","RUB","Russian Ruble","0","Units",,,5.539641,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","RUB","Russian Ruble","0","Units",,,7.301352,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","RUB","Russian Ruble","0","Units",,,8.315801,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","RUB","Russian Ruble","0","Units",,,9.273504,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","RUB","Russian Ruble","0","Units",,,9.867835,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","RUB","Russian Ruble","0","Units",,,11.5516,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","RUB","Russian Ruble","0","Units",,,12.736131,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","RUB","Russian Ruble","0","Units",,,12.614955,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","RUB","Russian Ruble","0","Units",,,13.98421,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","RUB","Russian Ruble","0","Units",,,14.341196,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","RUB","Russian Ruble","0","Units",,,14.019334,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","RUB","Russian Ruble","0","Units",,,15.815104,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","RUB","Russian Ruble","0","Units",,,17.345572,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","RUB","Russian Ruble","0","Units",,,18.460624,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","RUB","Russian Ruble","0","Units",,,19.421265,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","RUB","Russian Ruble","0","Units",,,21.278878,,
"RUS","Russia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","RUB","Russian Ruble","0","Units",,,23.984696,,
